neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,353,0
Bang Na,13.66818,100.61674,Private room,1316,1,0,358,0
Bang Kapi,13.75232,100.62402,Private room,800,60,0,365,0
Din Daeng,13.78823,100.57256,Private room,1286,7,2,323,1
Bang Kapi,13.76872,100.63338,Private room,1905,1,0,365,0
Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,365,0
Rat Burana,13.68556,100.49535,Private room,1558,3,1,365,0
Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,365,0
Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,365,0
Khlong San,13.7204,100.50757,Private room,700,2,4,87,0
Bang Rak,13.71934,100.5176,Private room,1150,2,27,320,0
Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,356,1
Sathon,13.71802,100.51539,Hotel room,1862,2,208,361,0
Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,365,0
Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,365,0
Phaya Thai,13.79152,100.53982,Private room,4156,1,0,365,0
Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,330,0
Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,334,0
Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,349,3
Sai Mai,13.9077,100.64473,Private room,1500,1,0,365,0
Rat Burana,13.68568,100.49231,Private room,1385,30,0,365,0
Vadhana,13.74444,100.57003,Private room,3775,30,3,364,0
Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,55,0
Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,364,0
Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,263,0
Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,365,0
Bang Kapi,13.76747,100.63287,Private room,1190,1,0,365,0
Lat Krabang,13.721868,100.771713,Private room,1329,1,28,349,13
Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,350,0
Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,95,2
Wang Thong Lang,13.78938,100.6134,Private room,600,1,0,365,0
Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,207,7
